Ham/Spam,Text,target,words,message
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,"['SIX', 'chances', 'win', 'CASH', 'From', '100', '20', '000', 'pounds', 'txt', 'CSH11', 'send', '87575', 'Cost', '150p', 'day', '6days', '16', 'TsandCs', 'apply', 'Reply', 'HL', '4', 'info']",six chance win cash 100 20 000 pound txt CSH11 send 87575 cost 150p day 6days 16 TsandCs apply reply HL 4 info
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",1,"['URGENT', 'You', '1', 'week', 'FREE', 'membership', '100', '000', 'Prize', 'Jackpot', 'Txt', 'word', 'CLAIM', 'No', '81010', 'T', 'C', 'www', 'dbuk', 'net', 'LCCLTD', 'POBOX', '4403LDNW1A7RW18']",URGENT 1 week free membership 100 000 prize Jackpot Txt word CLAIM 81010 c www dbuk net LCCLTD POBOX 4403ldnw1a7rw18
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,0,"['I', 'searching', 'right', 'words', 'thank', 'breather', 'I', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'promise', 'You', 'wonderful', 'blessing', 'times']",search right word thank breather promise will not take help grant fulfil promise wonderful blessing time
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,0,"['I', 'HAVE', 'A', 'DATE', 'ON', 'SUNDAY', 'WITH', 'WILL']",date SUNDAY
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,"['XXXMobileMovieClub', 'To', 'use', 'credit', 'click', 'WAP', 'link', 'next', 'txt', 'message', 'click', 'http', 'wap', 'xxxmobilemovieclub', 'com', 'n', 'QJKGIGHJJGCBL']",xxxmobilemovieclub use credit click WAP link next txt message click http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,Oh k...i'm watching here:),0,"['Oh', 'k', 'watching']",oh k watch
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0,"['Eh', 'u', 'remember', '2', 'spell', 'name', 'Yes', 'He', 'v', 'naughty', 'make', 'v', 'wet']",eh u remember 2 spell name yes v naughty make v wet
ham,Fine if thats the way u feel. Thats the way its gota b,0,"['Fine', 'way', 'u', 'feel', 'That', 'way', 'gota', 'b']",fine way u feel way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",1,"['England', 'v', 'Macedonia', 'dont', 'miss', 'goals', 'team', 'news', 'Txt', 'ur', 'national', 'team', '87077', 'eg', 'ENGLAND', '87077', 'Try', 'WALES', 'SCOTLAND', '4txt', 'ú1', '20', 'POBOXox36504W45WQ', '16']",england v Macedonia do not miss goal team news Txt ur national team 87077 eg ENGLAND 87077 try WALES SCOTLAND 4txt ú1 20 POBOXox36504W45WQ 16
ham,Is that seriously how you spell his name?,0,"['Is', 'seriously', 'spell', 'name']",seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,0,"['I', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']",go try 2 month ha ha joke
ham,So ü pay first lar... Then when is da stock comin...,0,"['So', 'ü', 'pay', 'first', 'lar', 'Then', 'da', 'stock', 'comin']",ü pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,0,"['Aft', 'finish', 'lunch', 'go', 'str', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']",aft finish lunch go str lor Ard 3 smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,0,"['Ffffffffff', 'Alright', 'way', 'I', 'meet', 'sooner']",ffffffffff alright way meet soon
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,0,"['Just', 'forced', 'eat', 'slice', 'I', 'really', 'hungry', 'tho', 'This', 'sucks', 'Mark', 'getting', 'worried', 'He', 'knows', 'I', 'sick', 'I', 'turn', 'pizza', 'Lol']",force eat slice really hungry tho suck Mark get worried know sick turn pizza Lol
ham,Lol your always so convincing.,0,"['Lol', 'always', 'convincing']",Lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,0,"['Did', 'catch', 'bus', 'Are', 'frying', 'egg', 'Did', 'make', 'tea', 'Are', 'eating', 'mom', 'left', 'dinner', 'Do', 'feel', 'Love']",catch bus fry egg make tea eat mom leave dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",0,"['I', 'back', 'amp', 'packing', 'car', 'I', 'let', 'know', 'room']",back amp pack car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,0,"['Ahhh', 'Work', 'I', 'vaguely', 'remember', 'What', 'feel', 'like', 'Lol']",ahhh work vaguely remember feel like Lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",0,"['Wait', 'still', 'clear', 'sure', 'sarcastic', 'x', 'want', 'live', 'us']",wait still clear sure sarcastic x want live we
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0,"['Yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'Till', '2', 'But', 'go', 'Not', 'badly', 'cheers', 'You']",yeah get 2 v apologetic n fall actin like spoil child get catch till 2 go badly cheer
ham,K tell me anything about you.,0,"['K', 'tell', 'anything']",k tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,0,"['For', 'fear', 'fainting', 'housework', 'Quick', 'cuppa']",fear faint housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,1,"['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'charged', '5', 'month', 'Please', 'confirm', 'replying', 'YES', 'NO', 'If', 'reply', 'NO', 'charged']",thank subscription ringtone UK mobile charge 5 month please confirm reply yes reply charge
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,0,"['Yup', 'Ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'Xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']",yup ok go home look timing msg ü Xuhui go learn 2nd may lesson 8 am
ham,"Oops, I'll let you know when my roommate's done",0,"['Oops', 'I', 'let', 'know', 'roommate', 'done']",oop let know roommate do
ham,I see the letter B on my car,0,"['I', 'see', 'letter', 'B', 'car']",see letter b car
ham,Anything lor... U decide...,0,"['Anything', 'lor', 'U', 'decide']",anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,0,"['Hello', 'How', 'saturday', 'go', 'I', 'texting', 'see', 'decided', 'anything', 'tomo', 'Not', 'trying', 'invite', 'anything']",hello saturday go texte see decide anything tomo try invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,0,"['Pls', 'go', 'ahead', 'watts', 'I', 'wanted', 'sure', 'Do', 'great', 'weekend', 'Abiola']",pls go ahead watt want sure great weekend Abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",0,"['Did', 'I', 'forget', 'tell', 'I', 'want', 'I', 'need', 'I', 'crave', 'But', 'I', 'love', 'sweet', 'Arabian', 'steed', 'Mmmmmm', 'Yummy']",forget tell want need crave love sweet arabian stee mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,1,"['07732584351', 'Rodger', 'Burns', 'MSG', 'We', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'Please', 'call', '08000930705', 'delivery', 'tomorrow']",07732584351 rodger burn MSG try call reply sm free nokia mobile free camcorder please call 08000930705 delivery tomorrow
ham,WHO ARE YOU SEEING?,0,"['WHO', 'ARE', 'YOU', 'SEEING']",see
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,0,"['Great', 'I', 'hope', 'like', 'man', 'well', 'endowed', 'I', 'lt', 'gt', 'inches']",great hope like man well endow lt gt inch
ham,No calls..messages..missed calls,0,"['No', 'calls', 'messages', 'missed', 'calls']",call message miss call
ham,Didn't you get hep b immunisation in nigeria.,0,"['Didn', 'get', 'hep', 'b', 'immunisation', 'nigeria']",get hep b immunisation nigeria
ham,"Fair enough, anything going on?",0,"['Fair', 'enough', 'anything', 'going']",fair enough anything go
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",0,"['Yeah', 'hopefully', 'tyler', 'I', 'could', 'maybe', 'ask', 'around', 'bit']",yeah hopefully tyler could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,0,"['U', 'know', 'stubborn', 'I', 'I', 'even', 'want', 'go', 'hospital', 'I', 'kept', 'telling', 'Mark', 'I', 'weak', 'sucker', 'Hospitals', 'weak', 'suckers']",u know stubborn even want go hospital keep tell Mark weak sucker hospital weak sucker
ham,What you thinked about me. First time you saw me in class.,0,"['What', 'thinked', 'First', 'time', 'saw', 'class']",think first time see class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",0,"['A', 'gram', 'usually', 'runs', 'like', 'lt', 'gt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'lt', 'gt']",gram usually run like lt gt half eighth smart though get almost whole second gram lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,0,"['K', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'crashing', 'place', 'tonight']",k fyi x ride early tomorrow morning crash place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",0,"['Wow', 'I', 'never', 'realized', 'embarassed', 'accomodations', 'I', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'I', 'sorry', 'I', 'give', 'I', 'sorry', 'offered', 'I', 'sorry', 'room', 'embarassing']",wow never realize embarasse accomodation think like since good could always seem happy cave sorry give sorry offer sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,1,"['SMS', 'ac', 'Sptv', 'The', 'New', 'Jersey', 'Devils', 'Detroit', 'Red', 'Wings', 'play', 'Ice', 'Hockey', 'Correct', 'Incorrect', 'End', 'Reply', 'END', 'SPTV']",SMS ac sptv new Jersey devil Detroit red wing play ice Hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,0,"['Do', 'know', 'Mallika', 'Sherawat', 'yesterday', 'Find', 'lt', 'URL', 'gt']",know Mallika sherawat yesterday find lt URL gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",1,"['Congrats', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'etc', '4', 'FREE', 'bx420', 'ip4', '5we', '150pm', 'Dont', 'miss']",congrat 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 StarWars3 etc 4 free bx420 ip4 5we 150pm do not miss
ham,"Sorry, I'll call later in meeting.",0,"['Sorry', 'I', 'call', 'later', 'meeting']",sorry call later meeting
ham,Tell where you reached,0,"['Tell', 'reached']",tell reach
ham,Yes..gauti and sehwag out of odi series.,0,"['Yes', 'gauti', 'sehwag', 'odi', 'series']",yes gauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0,"['Your', 'gonna', 'pick', '1', 'burger', 'way', 'home', 'I', 'even', 'move', 'Pain', 'killing']",going to pick 1 burger way home even move pain kill
ham,Ha ha ha good joke. Girls are situation seekers.,0,"['Ha', 'ha', 'ha', 'good', 'joke', 'Girls', 'situation', 'seekers']",ha ha ha good joke girl situation seeker
ham,Its a part of checking IQ,0,"['Its', 'part', 'checking', 'IQ']",part check iq
ham,"Sorry my roommates took forever, it ok if I come by now?",0,"['Sorry', 'roommates', 'took', 'forever', 'ok', 'I', 'come']",sorry roommate take forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,0,"['Ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'He', 'said', 'cut', 'look', 'nice']",ok lar double check wif da hair dresser already say wun cut v short say cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1,"['As', 'valued', 'customer', 'I', 'pleased', 'advise', 'following', 'recent', 'review', 'Mob', 'No', 'awarded', '1500', 'Bonus', 'Prize', 'call', '09066364589']",value customer please advise follow recent review mob award 1500 Bonus prize call 09066364589
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",0,"['Today', 'song', 'dedicated', 'day', 'Which', 'song', 'u', 'dedicate', 'Send', 'ur', 'valuable', 'frnds', 'first', 'rply']",today song dedicate day song u dedicate send ur valuable frnd first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",1,"['Urgent', 'UR', 'awarded', 'complimentary', 'trip', 'EuroDisinc', 'Trav', 'Aco', 'Entry41', 'Or', '1000', 'To', 'claim', 'txt', 'DIS', '87121', '18', '6', '1', '50', 'moreFrmMob', 'ShrAcomOrSglSuplt', '10', 'LS1', '3AJ']",urgent ur award complimentary trip EuroDisinc Trav aco entry41 1000 claim txt DIS 87121 18 6 1 50 morefrmmob shracomorsglsuplt 10 LS1 3aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",1,"['Did', 'hear', 'new', 'Divorce', 'Barbie', 'It', 'comes', 'Ken', 'stuff']",hear new divorce Barbie come Ken stuff
ham,I plane to give on this month end.,0,"['I', 'plane', 'give', 'month', 'end']",plane give month end
ham,Wah lucky man... Then can save money... Hee...,0,"['Wah', 'lucky', 'man', 'Then', 'save', 'money', 'Hee']",Wah lucky man save money hee
ham,Finished class where are you.,0,"['Finished', 'class']",finish class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,0,"['HI', 'BABE', 'IM', 'AT', 'HOME', 'NOW', 'WANNA', 'DO', 'SOMETHING', 'XX']",HI BABE IM HOME WANNA something XX
ham,K..k:)where are you?how did you performed?,0,"['K', 'k', 'performed']",k k perform
ham,U can call me now...,0,"['U', 'call']",u call
ham,I am waiting machan. Call me once you free.,0,"['I', 'waiting', 'machan', 'Call', 'free']",wait machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,0,"['Thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",that s cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,0,"['I', 'like', 'peoples', 'much', 'shy', 'pa']",like people much shy pa
ham,Does not operate after  &lt;#&gt;  or what,0,"['Does', 'operate', 'lt', 'gt']",operate lt gt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,0,"['Its', 'Still', 'looking', 'job', 'How', 'much', 'Ta', 'earn']",still look job much Ta earn
ham,"Sorry, I'll call later",0,"['Sorry', 'I', 'call', 'later']",sorry call later
ham,K. Did you call me just now ah? ,0,"['K', 'Did', 'call', 'ah']",k call ah
ham,Ok i am on the way to home hi hi,0,"['Ok', 'way', 'home', 'hi', 'hi']",ok way home hi hi
ham,You will be in the place of that man,0,"['You', 'place', 'man']",place man
ham,Yup next stop.,0,"['Yup', 'next', 'stop']",yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",0,"['I', 'call', 'later', 'network', 'If', 'urgnt', 'sms']",call later network urgnt sm
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,0,"['For', 'real', 'u', 'getting', 'yo', 'I', 'need', '2', 'tickets', 'one', 'jacket', 'I', 'done', 'I', 'already', 'used', 'multis']",real u get yo need 2 ticket one jacket do already use multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,0,"['Yes', 'I', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', 'I', 'back', 'bed', 'Double', 'coins', 'factory', 'I', 'gotta', 'cash', 'nitros']",yes start send request make pain come back back bed double coin factory got to cash nitro
ham,I'm really not up to it still tonight babe,0,"['I', 'really', 'still', 'tonight', 'babe']",really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",0,"['Ela', 'kano', 'il', 'download', 'come', 'wen', 'ur', 'free']",Ela kano il download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,0,"['Yeah', 'Don', 'stand', 'close', 'tho', 'catch', 'something']",yeah stand close tho catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,0,"['Sorry', 'pain', 'Is', 'ok', 'meet', 'another', 'night', 'I', 'spent', 'late', 'afternoon', 'casualty', 'means', 'done', 'stuff42moro', 'includes', 'time', 'sheets', 'Sorry']",sorry pain ok meet another night spend late afternoon casualty mean do stuff42moro include time sheet sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0,"['Smile', 'Pleasure', 'Smile', 'Pain', 'Smile', 'trouble', 'pours', 'like', 'Rain', 'Smile', 'sum1', 'Hurts', 'U', 'Smile', 'becoz', 'SOMEONE', 'still', 'Loves', 'see', 'u', 'Smiling']",smile pleasure smile pain smile trouble pour like rain smile sum1 hurt u smile becoz someone still love see u smile
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,1,"['Please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am', '9pm', 'WON', 'guaranteed', '1000', 'cash', '5000', 'prize']",please call customer service representative 0800 169 6031 10 am 9 pm guarantee 1000 cash 5000 prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,0,"['Havent', 'planning', 'buy', 'later', 'I', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'U', 'finish', 'work', 'already']",have not plan buy later check already lido get 530 show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",1,"['Your', 'free', 'ringtone', 'waiting', 'collected', 'Simply', 'text', 'password', 'MIX', '85069', 'verify', 'Get', 'Usher', 'Britney', 'FML', 'PO', 'Box', '5249', 'MK17', '92H', '450Ppw', '16']",free ringtone wait collect simply text password MIX 85069 verify get usher Britney FML po Box 5249 MK17 92h 450ppw 16
ham,Watching telugu movie..wat abt u?,0,"['Watching', 'telugu', 'movie', 'wat', 'abt', 'u']",watch telugu movie wat abt u
ham,i see. When we finish we have loads of loans to pay,0,"['see', 'When', 'finish', 'loads', 'loans', 'pay']",see finish load loan pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",0,"['Hi', 'Wk', 'ok', 'hols', 'Yes', 'bit', 'run', 'Forgot', 'hairdressers', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'Does', 'cause', 'prob', 'u']",hi wk ok hol yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
ham,I see a cup of coffee animation,0,"['I', 'see', 'cup', 'coffee', 'animation']",see cup coffee animation
ham,Please don't text me anymore. I have nothing else to say.,0,"['Please', 'text', 'anymore', 'I', 'nothing', 'else', 'say']",please text anymore nothing else say
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,0,"['Okay', 'name', 'ur', 'price', 'long', 'legal', 'Wen', 'I', 'pick', 'Y', 'u', 'ave', 'x', 'ams', 'xx']",okay name ur price long legal Wen pick u ave x am xx
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,0,"['I', 'still', 'looking', 'car', 'buy', 'And', 'gone', '4the', 'driving', 'test', 'yet']",still look car buy go 4the drive test yet
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,"['As', 'per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']",per request Melle Melle oru Minnaminunginte Nurungu Vettam set callertune caller press 9 copy friend callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",0,"['wow', 'You', 'right', 'I', 'mean', 'I', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'Cuz', 'signin', 'page', 'still', 'says', 'boston']",wow right mean guess give boston man change search location nyc something change cuz signin page still say boston
ham,Umma my life and vava umma love you lot dear,0,"['Umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",Umma life vava umma love lot dear
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,0,"['Thanks', 'lot', 'wishes', 'birthday', 'Thanks', 'making', 'birthday', 'truly', 'memorable']",thank lot wish birthday thank make birthday truly memorable
ham,"Aight, I'll hit you up when I get some cash",0,"['Aight', 'I', 'hit', 'I', 'get', 'cash']",aight hit get cash
ham,How would my ip address test that considering my computer isn't a minecraft server,0,"['How', 'would', 'ip', 'address', 'test', 'considering', 'computer', 'minecraft', 'server']",would ip address test consider computer minecraft server
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0,"['I', 'know', 'Grumpy', 'old', 'people', 'My', 'mom', 'like', 'better', 'lying', 'Then', 'I', 'always', 'one', 'play', 'jokes']",know Grumpy old people mom like well lie always one play joke
ham,Dont worry. I guess he's busy.,0,"['Dont', 'worry', 'I', 'guess', 'busy']",do not worry guess busy
ham,What is the plural of the noun research?,0,"['What', 'plural', 'noun', 'research']",plural noun research
ham,Going for dinner.msg you after.,0,"['Going', 'dinner', 'msg']",go dinner msg
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,0,"['I', 'ok', 'wif', 'cos', 'like', '2', 'try', 'new', 'things', 'But', 'scared', 'u', 'dun', 'like', 'mah', 'Cos', 'u', 'said', 'loud']",ok wif cos like 2 try new thing scare u dun like mah cos u say loud
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1,"['GENT', 'We', 'trying', 'contact', 'Last', 'weekends', 'draw', 'shows', '1000', 'prize', 'GUARANTEED', 'Call', '09064012160', 'Claim', 'Code', 'K52', 'Valid', '12hrs', '150ppm']",gent try contact last weekend draw show 1000 prize guaranteed call 09064012160 claim code K52 valid 12hrs 150ppm
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",0,"['Wa', 'ur', 'openin', 'sentence', 'formal', 'Anyway', 'fine', 'juz', 'tt', 'eatin', 'much', 'n', 'puttin', 'weight', 'Haha', 'So', 'anythin', 'special', 'happened']",wa ur openin sentence formal anyway fine juz tt eatin much n puttin weight haha anythin special happen
